Country,24-hourcheck-in,airconditioning,breakfast,buzzer/wirelessintercom,cabletv,carbonmonoxidedetector,doorman,dryer,elevatorinbuilding,essentialamenities(>40%oflistings),essentials,family/kidfriendly,fireextinguisher,firstaidkit,freeparkingonpremises,gym,hairdryer,hangers,heating,indoorfireplace,internet,iron,kitchen,laptopfriendlyworkspace,lockonbedroomdoor,petsallowed,petsliveonthisproperty,pool,safetycard,shampoo,smokedetector,translationmissing:en.hosting_amenity_49,translationmissing:en.hosting_amenity_50,tv,washer,wirelessinternet
FranceGuesthouse,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
FranceCondominium,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
FranceBoutiquehotel,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes
FranceBed&Breakfast,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
FranceApartment,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
DenmarkVilla,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
DenmarkTownhouse,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
DenmarkHouse,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes
DenmarkBed&Breakfast,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
DenmarkApartment,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaTownhouse,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaOther,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaLoft,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaHouse,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaGuesthouse,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes
CanadaCondominium,no,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,yes
CanadaBungalow,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaBed&Breakfast,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
CanadaApartment,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
BelgiumTownhouse,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
BelgiumLoft,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
BelgiumHouse,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes
BelgiumCondominium,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes
BelgiumBed&Breakfast,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes
